Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-01-05,7347.4332644392,7337.421390676,7487.3338707877,7316.7633702616
BTC,2020-01-06,7713.8607536496,7351.5788898737,7749.6486132989,7339.7025230938
BTC,2020-01-07,8039.6037008183,7714.9084837456,8192.1588771153,7708.8853512691
BTC,2020-01-08,8067.6063690564,8046.8029434773,8463.1834184145,7871.0354994792
BTC,2020-01-09,7808.7013638165,8046.1115292961,8046.2838824034,7755.4012267825
BTC,2020-01-10,8087.4528852359,7808.7037326474,8136.4991260981,7670.4577915925
BTC,2020-01-11,8078.9935319903,8195.4759992712,8278.6605796425,8008.905116977
BTC,2020-01-12,8149.3137171468,8080.2296143216,8188.3858023401,7959.5335219804
BTC,2020-01-13,8116.9610079465,8150.8073363647,8191.1877148195,8035.3155303557
BTC,2020-01-14,8735.1424391365,8110.5112347453,8848.9219945188,8108.9540387696
BTC,2020-01-16,8843.6757322237,8735.1484173123,8897.643792588,8558.7443773392
BTC,2020-01-17,8711.6375778988,8825.385428024,8855.5301353874,8587.5183510031
BTC,2020-01-18,8925.2990284456,8711.6373107297,9009.5337001471,8665.0115377476
BTC,2020-01-19,8939.8643002492,8925.3034863741,8971.8906323129,8803.0944350362
BTC,2020-01-20,8652.6837629859,8939.8799944275,9181.9727908014,8455.129027536
BTC,2020-01-22,8708.786013433,8652.6824688107,8783.7501000075,8486.3404573779
BTC,2020-01-23,8384.0887767671,8708.8352221244,8797.7736140327,8277.8091268159
BTC,2020-01-24,8451.2322960209,8381.5997737175,8512.454206647,8220.8673894814
BTC,2020-01-26,8347.567505406,8451.2321285783,8458.2839929308,8256.0430665915
BTC,2020-01-27,8881.9623914604,8347.5699512759,8982.0354404362,8282.3583072511
BTC,2020-01-29,9320.9784062486,8877.7336172999,9432.6774872835,8874.2848186197
BTC,2020-01-30,9545.0779565894,9288.5226462662,9633.2510350153,9185.1813402348
BTC,2020-01-31,9388.8807518859,9548.5453758381,9558.4326133253,9198.6590414019
BTC,2020-02-02,9363.1933827575,9388.8790704776,9451.0645797253,9284.4105590399
BTC,2020-02-03,9269.7070348447,9375.2268312725,9603.1055824836,9150.5345727305
BTC,2020-02-04,9177.8946372066,9286.2077761598,9349.2470579603,9072.5882144438
BTC,2020-02-05,9625.4566372011,9177.8957937954,9745.1713772974,9147.6522811203
BTC,2020-02-06,9681.3774113095,9600.4035851114,9856.4477732891,9527.1516688188
BTC,2020-02-07,9795.3440659492,9681.3776995274,9872.6160693597,9653.132962425
BTC,2020-02-08,9927.7782564213,9795.343586045,9939.6715013086,9660.3091570566
BTC,2020-02-09,10132.706499106,9900.6846345293,10175.9070114234,9888.1547646154
